slug,title,category,editorial_status,A,B,C,D,E,F,G,H,I,J,K,L,overall,tier,reader_test,recognition_evidence,unique_insight_evidence,generic_dictionary_test,generic_dictionary_note,nearest_neighbor_slug,neighbor_similarity,collision,independent_intent,primary_reason,secondary_reasons,trust_risks,word_count,reflection_question_count,related_dream_count,related_reason_count
snake-wrapping-around-you,Snake wrapping around you,Animals and creatures,,3,3,3,2,0,2,2,3,3,2,3,2,28,P3,Passes,"Dreams about a snake wrapping around you often reflect powerful emotions, transformation, vulnerability, pressure, attachment, healing, control, fear, intuition, or situations that feel deeply connected to your life and difficult to ignore.","Why recurring dreams happen Recurring dreams about snakes wrapping around you may suggest ongoing transformation, emotional attachment, unresolved fears, powerful relationships, or situations that continue demanding attention.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",snake,0.6051,true,"Potentially defensible if this distinction remains central: Why recurring dreams happen Recurring dreams about snakes wrapping around you may suggest ongoing transformation, emotional attachment, unresolved fears, powerful relationships, or situations that continue demanding attention.",Generic interpretation,Excessive repetition; Likely duplicate intent,,1105,5,5,5
cobra,Seeing a cobra,Transformation and life transitions,,3,3,2,1,3,2,2,3,3,2,3,2,29,P3,Passes,"Dreams about seeing a cobra often reflect power, fear, awareness, hidden threats, protection, transformation, personal authority, intuition, emotional intensity, or situations that demand respect, caution, and attention.","Unlike many threatening symbols, the cobra often represents something that is powerful rather than purely harmful.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",seeing-many-snakes,0.2015,false,The closest neighbor does not currently erase this page's independent intent.,Poor conditional scenarios,,,910,5,5,5
running,Running,Anxiety and fear,,3,2,2,1,1,2,2,3,3,0,3,2,24,P2,Passes,"running toward something May symbolize ambition, opportunity, goals, hope, or determination to achieve something meaningful.","Whether that movement is driven by hope, fear, ambition, or necessity depends on the details of the dream.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",running-slowly,0.4956,true,"Potentially defensible if this distinction remains central: Whether that movement is driven by hope, fear, ambition, or necessity depends on the details of the dream.",Weak reflection questions,,,1049,0,4,4
running-but-cant-move-fast,Running but can't move fast,Anxiety and fear,,3,3,2,1,0,1,2,3,3,0,3,2,23,P1,Passes,"Dreams about running but being unable to move fast often reflect frustration, feeling stuck, self-doubt, lack of control, emotional pressure, obstacles, anxiety, or the feeling that your effort is not producing the progress you expected.","watching others move faster Often reflects comparison, insecurity, fear of falling behind, or concerns about personal progress.",Mostly yes,"The page needs a more dream-specific distinction, conditional scenario, or reflection that could not be reused broadly.",running-slowly,0.6285,true,"Potentially defensible if this distinction remains central: watching others move faster Often reflects comparison, insecurity, fear of falling behind, or concerns about personal progress.",Generic interpretation,Weak reflection questions; Excessive repetition,,1115,0,5,5
being-in-the-ocean,Being in the ocean,Water,,3,3,2,2,0,2,2,3,2,3,3,2,27,P2,Passes,Why healing often appears as ocean dreams Healing requires engaging with emotions rather than avoiding them.,Why calm and rough oceans mean different things The emotional atmosphere often reflects the dreamer's relationship with their feelings.,Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",ocean,0.771,true,Potentially defensible if this distinction remains central: Why calm and rough oceans mean different things The emotional atmosphere often reflects the dreamer's relationship with their feelings.,Generic interpretation,Excessive repetition; Likely duplicate intent,,924,4,4,4
being-shot,Being shot,Anxiety and fear,,3,3,2,2,3,1,2,3,3,0,3,3,28,P3,Passes,"being shot by a stranger Often reflects unexpected stress, anxiety, fear of the unknown, or situations that feel emotionally threatening.","Being shot in the head may reflect mental stress, harsh realizations, or damaging thoughts.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",getting-bitten-by-a-snake,0.2444,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,1080,0,6,6
waves,Seeing waves,Water,,3,2,2,1,3,2,2,2,3,2,3,2,27,P2,Passes,"Particularly when the waves appear powerful, dangerous, or impossible to escape.","Why waves symbolize emotions Waves naturally rise, fall, and change, making them powerful symbols for emotional experiences and psychological states.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",seeing-your-body-while-you-are-asleep,0.1981,false,The closest neighbor does not currently erase this page's independent intent.,Poor conditional scenarios,,,891,5,5,5
swimming-at-a-beach-or-in-a-pool,Swimming at a Beach or in a Pool,Water,,3,3,2,1,2,1,2,3,3,0,3,2,25,P2,Passes,"Dreams about swimming at a beach or in a pool often reflect emotional navigation, personal growth, confidence, healing, self-awareness, and your ability to manage emotions in either familiar or unpredictable situations.","Swimming in a pool often symbolizes emotional situations that feel structured, familiar, predictable, or easier to understand.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",falling-or-swimming-in-dirty-water,0.4101,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,1092,0,5,5
fighting-a-demon,Fighting a Demon,Spiritual dreams,,3,2,2,1,3,2,2,2,2,2,2,2,25,P2,Passes,"Resistance and agency Fighting can represent active resistance to fear, compulsion, shame, or harmful influence.",fighting and resisting the demon Often feels intense but determined.,Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",demonic-attack,0.3214,false,The closest neighbor does not currently erase this page's independent intent.,Poor conditional scenarios,,,606,4,2,2
fighting-an-angel,Fighting an Angel,Biblical dreams,KEEP,3,3,2,1,2,2,1,3,1,2,3,2,25,P2,Passes,fighting a calm angel Often feels tense but controlled.,"What the angel wanted, what you were protecting, whether the figure attacked or guided, and how the encounter ended distinguish conscience, authority conflict, spiritual longing, and fear.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",angels,0.4132,false,The closest neighbor does not currently erase this page's independent intent.,Insufficient symbolic context,No practical connection; Poor conditional scenarios,,586,5,3,3
ocean,Ocean,Water,,3,2,2,1,0,2,2,3,2,2,3,2,24,P1,Passes,Awe combines attraction with humility: the ocean can feel beautiful precisely because it exceeds personal control.,The ocean frequently appears when something within you is asking to be explored rather than avoided.,Mostly yes,"The page needs a more dream-specific distinction, conditional scenario, or reflection that could not be reused broadly.",being-in-the-ocean,0.771,true,Potentially defensible if this distinction remains central: The ocean frequently appears when something within you is asking to be explored rather than avoided.,Generic interpretation,Excessive repetition; Likely duplicate intent,,659,4,6,6
drowning,Drowning,Water,,2,3,2,0,3,2,2,3,3,0,3,2,25,P2,Passes,"The difference between panic drowning and calm drowning Panicked drowning dreams often reflect resistance, fear, anxiety, or the feeling that life has become too difficult to control.","Drowning dreams often connect to waking life situations involving emotional overwhelm, stress, burnout, anxiety, grief, emotional exhaustion, pressure, responsibilities, unresolved emotions, or situations that feel emotionally impossible to keep managing comfortably.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",losing-control,0.3094,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,Poor conditional scenarios,,1048,0,4,4
endless-stairs,Endless Stairs,Transformation and life transitions,,3,3,3,2,0,2,2,3,2,0,3,2,25,P2,Passes,Why endless stairs often appear during long-term goals The subconscious frequently uses endless staircases to represent goals that require years of effort rather than immediate results.,"falling while climbing endless stairs Often reflects fear of setbacks, losing progress, self-doubt, or concerns about failing after investing significant effort.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",climbing-stairs,0.6246,true,"Potentially defensible if this distinction remains central: falling while climbing endless stairs Often reflects fear of setbacks, losing progress, self-doubt, or concerns about failing after investing significant effort.",Generic interpretation,Weak reflection questions; Excessive repetition,,1075,0,4,4
